text,ipa
Langs de koele kali liep een kale koeli met een kilo kali op zijn kale koeli-kop.,lɑnxs dɛ kuːɛlɛ kaːlɪ liːp eːn kaːlɛ kuːɛlɪ mɛt eːn kiːlɔ kaːlɪ ɔp zɛjn kaːlɛ kuːɛlɪ-kɔp.
"Als in Graven graven gravengraven graven, graven graven gravengraven.","ɑls ɪn xraːvɛn xraːvɛn xraːvɛnxraːvɛn xraːvɛn, xraːvɛn xraːvɛn xraːvɛnxraːvɛn."
"Als vliegen vliegen en bijen vrijen, vliegen de vliegen de vrijende bijen vliegensvlug voorbij.","ɑls vliːɛɣɛn vliːɛɣɛn ɛn biːjɛn vriːjɛn, vliːɛɣɛn dɛ vliːɛɣɛn dɛ vriːjɛndɛ biːjɛn vliːɛɣɛnsvlʏɣ voːrbɛj."
Als ik die wolken na tuur beleeft zij zo een nat uur in de natuur.,ɑls ɪk diː ʋɔlkɛn nɑ tyːr beːleːft zɛj zɔ eːn nɑt yːr ɪn dɛ naːtyːr.
Scheveningen / Scheveningse scheve schoenen,sxeːvɛnɪŋɛn / sxeːvɛnɪnxsɛ sxeːvɛ sxuːɛnɛn
plak bakbloedworst,plɑk bɑkpluːtʋɔrst
"Vissende vissers die vissen naar vissen, maar vissende vissers die vangen vaak bot. De vis waar de vissende vissers naar vissen vindt vissende vissers vervelend en rot.","vɪssɛndɛ vɪssɛrs diː vɪssɛn naːr vɪssɛn, maːr vɪssɛndɛ vɪssɛrs diː vɑŋɛn vaːk bɔt. dɛ vɪs ʋaːr dɛ vɪssɛndɛ vɪssɛrs naːr vɪssɛn vɪntt vɪssɛndɛ vɪssɛrs vɛrveːlɛnd ɛn rɔt."
"Zeven Zaventemse zotten zullen zes zomerse zondagen zwemmen zonder zwembroek. Zware Julien zijn zuster zaliger zei: ""Zo'n zeveraars! Ze zijn zijle zeker zot zeg! Ze zullen zinken!","zeːvɛn zaːvɛntɛmsɛ zɔttɛn zʏjɛn zɛs zoːmɛrsɛ zɔndaːɣɛn zʋɛmmɛn zɔndɛr zʋɛmpruːk. zʋaːrɛ jyːliːn zɛjn zʏstɛr zaːliːɣɛr zɛj: ""zɔ'n zeːvɛraːrs! zɛ zɛjn zɛjlɛ zeːkɛr zɔt zɛɣ! zɛ zʏjɛn zɪnkɛn!"
Moeder sneed zeven scheve sneden brood.,muːɛdɛr sneːd zeːvɛn sxeːvɛ sneːdɛn proːd.
Meisje met je mooie mondje moet je met je maatje mee?,mɛjʃɛ mɛt jɛ moːjɛ mɔntjɛ muːt jɛ mɛt jɛ maːtjɛ meː?
Achter de Roomse kerk hangen drie droge doeken.,ɑxtɛr dɛ roːmsɛ kɛrk hɑŋɛn triː troːɣɛ duːɛkɛn.
Wij smachten naar achtentachtig prachtige nachten bij achtentachtig prachtige grachten.,ʋɛj smɑxtɛn naːr ɑxtɛntɑxtɪɣ prɑxtiːɣɛ nɑxtɛn bɛj ɑxtɛntɑxtɪɣ prɑxtiːɣɛ xrɑxtɛn.
Legermeetsysteemregel,leːɣɛrmeːtsjsteːmreːɣɛl
"Bram de brave broer van breiende brauwende Brielse Brechtje, bracht in zijn bronsbruin broekje een bril en een brandbrief en een gebroken brokje bros bruin brood over de brede brug naar Breukelen.","prɑm dɛ praːvɛ pruːr vɑn prɛjɛndɛ prawywɛndɛ priːlsɛ prɛxtjɛ, prɑxt ɪn zɛjn prɔnsprœɥn pruːkjɛ eːn prɪl ɛn eːn prɑntpriːf ɛn eːn ɣɛproːkɛn prɔkjɛ prɔs prœɥn proːd oːvɛr dɛ preːdɛ prʏɣ naːr prøːʏkeːlɛn."
Rioolwaterzuiveringsinstallatieconsumentenonderzoekershondenbrokkendieetwinkelgarderobejuffrouw,rɪoːlʋaːtɛrzœɥɪveːrɪnxsɪnstɑjaːtiːcɔnsyːmɛnteːnɔndɛrzuːɛkɛrʃɔndɛnprɔkkɛndiːɛtʋɪnkɛlɣɑrdeːroːbeːjʏffrɑw
