text,ipa
"Peter Piper picked a peck of pickled peppers. A peck of pickled peppers Peter Piper picked. If Peter Piper picked a peck of pickled peppers, Where's the peck of pickled peppers Peter Piper picked?","pitɹ̩ pajpɹ̩ pɪkt ə pɛk ʌv pɪkəld pɛpɹ̩z. ə pɛk ʌv pɪkəld pɛpɹ̩z pitɹ̩ pajpɹ̩ pɪkt. ɪf pitɹ̩ pajpɹ̩ pɪkt ə pɛk ʌv pɪkəld pɛpɹ̩z, wɛɹəz ðə pɛk ʌv pɪkəld pɛpɹ̩z pitɹ̩ pajpɹ̩ pɪkt?"
"I saw Susie sitting in a shoe shine shop. Where she sits she shines, and where she shines she sits.","aj sɔ suzi sɪtɪŋ ɪn ə ʃu ʃajn ʃɑp. wɛɹ ʃi sɪts ʃi ʃajnz, ænd wɛɹ ʃi ʃajnz ʃi sɪts."
How many boards Could the Mongols hoard If the Mongol hordes got bored?,haw mɛni bɔɹdz kʊd ðə mɑŋɡəlz hɔɹd ɪf ðə mɑŋɡəl hɔɹdz ɡɑt bɔɹd?
How can a clam cram in a clean cream can?,haw kæn ə klæm kɹæm ɪn ə klin kɹim kæn?
Send toast to ten tense stout saints' ten tall tents.,sɛnd towst tə tɛn tɛns stawt sejnts tɛn tɔl tɛnts.
"Denise sees the fleece, Denise sees the fleas. At least Denise could sneeze and feed and freeze the fleas.","dɪnis siz ðə flis, dɪnis siz ðə fliz. æt list dɪnis kʊd sniz ænd fid ænd fɹiz ðə fliz."
Coy knows pseudonoise codes.,koj nowz sudənwz kowdz.
"Sheena leads, Sheila needs.","ʃinə lidz, ʃilə nidz."
The thirty-three thieves thought that they thrilled the throne throughout Thursday.,ðə θɹ̩di-θɹi θivz θɔt ðæt ðej θɹɪld ðə θɹown θɹuawt θɹ̩zdi.
"Something in a thirty-acre thermal thicket of thorns and thistles thumped and thundered threatening the three-D thoughts of Matthew the thug - although, theatrically, it was only the thirteen-thousand thistles and thorns through the underneath of his thigh that the thirty year old thug thought of that morning.","sʌmθɪŋ ɪn ə θɹ̩di-ejkɹ̩ θɹ̩məl θɪkɪt ʌv θɔɹnz ænd θɪsəlz θʌmpt ænd θʌndɹ̩d θɹɛtənɪŋ ðə θɹi-di θɔts ʌv mæθju ðə θʌɡ - ɔlðow, θiætɹɪkəli, ɪt wɑz ownli ðə θɹ̩tin-θawzənd θɪsəlz ænd θɔɹnz θɹu ðə ʌndɹ̩niθ ʌv hɪz θaj ðæt ðə θɹ̩di jɪɹ owld θʌɡ θɔt ʌv ðæt mɔɹnɪŋ."
Can you can a can as a canner can can a can?,kæn ju kæn ə kæn æz ə kænɹ̩ kæn kæn ə kæn?
Seth at Sainsbury's sells thick socks.,sɛθ æt sejnzbɛɹɪz sɛlz θɪk sɑks.
"You cuss, I cuss, we all cuss, for asparagus!","ju kʌs, aj kʌs, wi ɔl kʌs, fɔɹ əspɛɹəɡəs!"
Roberta ran rings around the Roman ruins.,ɹəbɹ̩tə ɹæn ɹɪŋz ɹ̩awnd ðə ɹowmən ɹuənz.
Clean clams crammed in clean cans.,klin klæmz kɹæmd ɪn klin kænz.
Six sick hicks nick six slick bricks with picks and sticks.,sɪks sɪk hɪks nɪk sɪks slɪk bɹɪks wɪð pɪks ænd stɪks.
"I wish to wish the wish you wish to wish, but if you wish the wish the witch wishes, I won't wish the wish you wish to wish.","aj wɪʃ tə wɪʃ ðə wɪʃ ju wɪʃ tə wɪʃ, bʌt ɪf ju wɪʃ ðə wɪʃ ðə wɪt͡ʃ wɪʃɪz, aj wɑnt wɪʃ ðə wɪʃ ju wɪʃ tə wɪʃ."
Stupid superstition!,stupəd supɹ̩stɪʃən!
"There was a fisherman named Fisher who fished for some fish in a fissure. Till a fish with a grin, pulled the fisherman in. Now they're fishing the fissure for Fisher.","ðɛɹ wɑz ə fɪʃɹ̩mæn nejmd fɪʃɹ̩ hu fɪʃt fɔɹ sʌm fɪʃ ɪn ə fɪʃɹ̩. tɪl ə fɪʃ wɪð ə ɡɹɪn, pʊld ðə fɪʃɹ̩mæn ɪn. naw ðejɹ̩ fɪʃɪŋ ðə fɪʃɹ̩ fɔɹ fɪʃɹ̩."
"To sit in solemn silence in a dull, dark dock, In a pestilential prison, with a life-long lock, Awaiting the sensation of a short, sharp shock, From a cheap and chippy chopper on a big black block! To sit in solemn silence in a dull, dark dock, In a pestilential prison, with a life-long lock, Awaiting the sensation of a short, sharp shock, From a cheap and chippy chopper on a big black block! A dull, dark dock, a life-long lock, A short, sharp shock, a big black block! To sit in solemn silence in a pestilential prison, And awaiting the sensation From a cheap and chippy chopper on a big black block!","tə sɪt ɪn sɑləm sajləns ɪn ə dʌl, dɑɹk dɑk, ɪn ə pɛstəlɛnt͡ʃəl pɹɪzən, wɪð ə lajf-lɔŋ lɑk, əwejtɪŋ ðə sɛnsejʃən ʌv ə ʃɔɹt, ʃɑɹp ʃɑk, fɹʌm ə t͡ʃip ænd t͡ʃɪpi t͡ʃɑpɹ̩ ɑn ə bɪɡ blæk blɑk! tə sɪt ɪn sɑləm sajləns ɪn ə dʌl, dɑɹk dɑk, ɪn ə pɛstəlɛnt͡ʃəl pɹɪzən, wɪð ə lajf-lɔŋ lɑk, əwejtɪŋ ðə sɛnsejʃən ʌv ə ʃɔɹt, ʃɑɹp ʃɑk, fɹʌm ə t͡ʃip ænd t͡ʃɪpi t͡ʃɑpɹ̩ ɑn ə bɪɡ blæk blɑk! ə dʌl, dɑɹk dɑk, ə lajf-lɔŋ lɑk, ə ʃɔɹt, ʃɑɹp ʃɑk, ə bɪɡ blæk blɑk! tə sɪt ɪn sɑləm sajləns ɪn ə pɛstəlɛnt͡ʃəl pɹɪzən, ænd əwejtɪŋ ðə sɛnsejʃən fɹʌm ə t͡ʃip ænd t͡ʃɪpi t͡ʃɑpɹ̩ ɑn ə bɪɡ blæk blɑk!"
"Picky people pick Peter Pan Peanut-Butter, 'tis the peanut-butter picky people pick.","pɪki pipəl pɪk pitɹ̩ pæn pinət-bʌtɹ̩, tɪs ðə pinət-bʌtɹ̩ pɪki pipəl pɪk."
"If Stu chews shoes, should Stu choose the shoes he chews?","ɪf stu t͡ʃuz ʃuz, ʃʊd stu t͡ʃuz ðə ʃuz hi t͡ʃuz?"
Luke Luck likes lakes. Luke's duck likes lakes. Luke Luck licks lakes. Luck's duck licks lakes. Duck takes licks in lakes Luke Luck likes. Luke Luck takes licks in lakes duck likes.,luk lʌk lajks lejks. lukəz dʌk lajks lejks. luk lʌk lɪks lejks. lʌkz dʌk lɪks lejks. dʌk tejks lɪks ɪn lejks luk lʌk lajks. luk lʌk tejks lɪks ɪn lejks dʌk lajks.
Seventy seven benevolent elephants,sɛvənti sɛvən bənɛvələnt ɛləfənts
There those thousand thinkers were thinking how did the other three thieves go through.,ðɛɹ ðowz θawzənd θɪŋkɹ̩z wɹ̩ θɪŋkɪŋ haw dɪd ðə ʌðɹ̩ θɹi θivz ɡow θɹu.
Santa's Short Suit Shrunk,sɑntəz ʃɔɹt sut ʃɹʌŋk
I was born on a pirate ship,aj wɑz bɔɹn ɑn ə pajɹət ʃɪp
"I scream, you scream, we all scream for icecream!","aj skɹim, ju skɹim, wi ɔl skɹim fɔɹ ajskɹim!"
Wayne went to Wales to watch walruses.,wejn wɛnt tə wejlz tə wɑt͡ʃ wɑlɹəsɪz.
