text,ipa
"Je suis ce que je suis et si je suis ce que je suis, qu'est-ce que je suis?","ʒə sɥis sɛ kɛ ʒɛ sɥis ɛt si ʒɛ sɥis sɛ kɛ ʒɛ sɥis, k'ɛst-sɛ kɛ ʒə sɥis?"
"Santé n'est pas sans t, mais maladie est sans t.","sɑ̃te n'ɛst pas sɑ̃s t, mɛs maladjə ɛst sɑ̃s t."
Les chaussettes de l'archiduchesse sont-elles sèches? Archi-sèches!,ləs ʃosɛtɛs dɛ l'aʀʃidyʃɛsɛ sɔ̃t-ɛlɛs sɛʃɛs? aʀʃi-sɛʃəs!
"L'Arabe Ali est mort au lit. Moralité: Maure Ali, t'es mort alité.","l'aʀabə ali ɛst mɔʀt o lit. mɔʀalite: moʀɛ ali, t'əs mɔʀt alite."
Où niche la pie? La pie niche haut. Où niche l'oie? L'oie niche bas. Où niche l'hibou? L'hibou niche ni haut ni bas !,ù niʃə la pjɛ? la pjɛ niʃɛ ot. ù niʃɛ l'wajɛ? l'wajɛ niʃɛ bas. ù niʃɛ l'ibu? l'ibu niʃə ni ot ni bas !
"Mon père est maire, mon frère est masseur.","mɔn pə̀ʀɛ ɛst mɛʀɛ, mɔn fʀɛʀə ɛst masœʀ."
Ces cerises sont si sûres qu'on ne sait pas si c'en sont.,səs sɛʀizɛs sɔ̃t si syʀɛs k'ɔn nɛ sɛt pas si k'ən sɔ̃t.
"Gros gras grand grain d'orge, tout gros-gras-grand-grain-d'orgerisé, quand te dé-gros-gras-grand-grain-d'orgeriseras-tu? Je me dé-gros-gras-grand-grain-d'orgeriserai quand tous les gros gras grands grains d'orge se seront dé-gros-gras-grand-grain-d'orgerisés.","ɡʀɔs ɡʀas ɡʀɑ̃d ɡʀɛn d'ɔʀʒə, tut ɡʀɔs-ɡʀas-ɡʀɑ̃d-ɡʀɛn-d'ɔʀʒɛʀize, kɑ̃d tɛ de-ɡʀɔs-ɡʀas-ɡʀɑ̃d-ɡʀɛn-d'ɔʀʒɛʀizɛʀas-ty? ʒɛ mɛ de-ɡʀɔs-ɡʀas-ɡʀɑ̃d-ɡʀɛn-d'ɔʀʒɛʀizɛʀai kɑ̃d tus lɛs ɡʀɔs ɡʀas ɡʀɑ̃ds ɡʀɛ̃s d'ɔʀʒɛ sɛ sɛʀɔ̃t de-ɡʀɔs-ɡʀas-ɡʀɑ̃d-ɡʀɛn-d'ɔʀʒəʀizes."
Un dragon gradé dégrade un gradé dragon.,yn dʀaɡɔn ɡʀade deɡʀadə yn ɡʀade dʀaɡɔn.
"Tes laitues naissent-elles ? Si tes laitues naissent, mes laitues naîtront.","təs lɛtɥɛs nɛsɑ̃t-ɛlɛs ? si tɛs lɛtɥɛs nɛsɑ̃t, mɛs lɛtys naitʀɔ̃t."
"Le blé s'moud-il ? L'habit s'coud-il? Oui l'blé s'moud, l'habit s'coud.","lə ble s'mud-il ? l'abit s'kud-il? wi l'ble s'mud, l'abit s'kud."
"Pauvre petit pêcheur, prend patience pour pouvoir prendre plusieurs petits poissons.","povʀə pɛtit pɛʃœʀ, pʀɑ̃d pasjɛ̃sɛ puʀ puvwaʀ pʀɑ̃dʀɛ plysjœʀs pətits pwasɔ̃s."
"Dans la gendarmerie, quand un gendarme rit, tous les gendarmes rient dans la gendarmerie.","dɑ̃s la ʒɑ̃daʀmɛʀjə, kɑ̃d yn ʒɑ̃daʀmɛ ʀit, tus lɛs ʒɑ̃daʀmɛs ʀjɛ̃t dɑ̃s la ʒɑ̃daʀmɛʀjə."
Pourquoi les alliés ne se désolidariseraient-ils pas.,puʀkwa ləs aljes nɛ sɛ dezɔlidaʀizəʀeɛ̃t-ils pas.
"Rat vit riz, Rat mit patte à ras, Rat mit patte à riz, Riz cuit patte à rat.","ʀat vit ʀiz, ʀat mit patə a ʀas, ʀat mit patɛ a ʀiz, ʀiz kɥit patə a ʀat."
Cette taxe fixe excessive est fixée exprès à AIX par le fisc.,sɛtə taɡzɛ fiɡzɛ ɛksɛsivɛ ɛst fiɡze ɛkspʀɛs a ɛks paʀ lə fisk.
Cinq chiens chassent six chats.,sink ʃjɛ̃s ʃasɑ̃t siks ʃats.
"Il était une fois, un homme de foi qui vendait du foie dans la ville de Foix. Il dit ma foi, c'est la dernière fois que je vends du foie dans la ville de Foix.","il etɛt ynə fwas, yn ɔmɛ dɛ fwa ki vɑ̃dɛt dy fwajɛ dɑ̃s la vijɛ dɛ fwaks. il dit ma fwa, k'ɛst la dɛʀnjɛʀɛ fwas kɛ ʒɛ vɑ̃ds dy fwajɛ dɑ̃s la vijɛ də fwaks."
"Le général Joffrin nous dit: A Toul, ai perdu mon dentier. En général j'offre un outil à tous les pères du monde entier.","lə ʒeneʀal ʒɔfʀin nus dit: a tul, ai pɛʀdy mɔn dɑ̃sjɛʀ. ɛn ʒeneʀal ʒ'ɔfʀɛ yn util a tus lɛs pɛʀɛs dy mɔ̃dɛ ɑ̃sjəʀ."
"Pruneau cuit, pruneau cru, ...","pʀynəo kɥit, pʀynəo kʀy, ..."
Trois petites truites cuites trois petites truites crues,tʀwas pətitɛs tʀɥitɛs kɥitɛs tʀwas pɛtitɛs tʀɥitəs kʀy
"Tu t'entêtes à tout tenter, tu t'uses et tu te tues à tant t'entêter.","ty t'ɑ̃tə̂tɛs a tut tɑ̃tɛʀ, ty t'yzɛs ɛt ty tɛ tɥɛs a tɑ̃t t'ɑ̃tɛtəʀ."
