text,ipa
Fischers Fritze fischt frische Fische; Frische Fische fischt Fischers Fritze.,fɪʃɛːrs friːt͡sɛː fɪʃt frɪʃɛː fɪʃɛː; frɪʃɛː fɪʃɛː fɪʃt fɪʃɛːrs friːt͡sɛː.
"Denen Dänen, denen Dänen Dänen dehnen, dehnen deren Dänen.","dɛːnɛːn dɛːnɛːn, dɛːnɛːn dɛːnɛːn dɛːnɛːn deːnɛːn, deːnɛːn dɛːrɛːn dɛːnɛːn."
Nickende Nichten und wippende Fichten.,niːkɛndɛː nɪçtɛːn ʊnd vɪpɛndɛː fɪçtɛːn.
"""Abraham!"" sprach Bebraham; ""Kann ich ma' dein Zebra ha'm?""","""aːbraːaːm!"" sprax bɛːbraːaːm; ""kan ɪç maː' daɪ̯n t͡sɛːbraː haː'm?"""
"Griesbrei bleibt Griesbrei, und Kriegsbeil bleibt Kriegsbeil","ɡrisbraɪ̯ blaɪ̯bt ɡrisbraɪ̯, ʊnd kriɡsbaɪ̯l blaɪ̯bt kriɡsbaɪ̯l"
"Auf des Fleischhauers Schild war der Abstand zwischen ""Käse"" und ""und"" und ""und"" und ""Wurst"" zu klein geraten.","aʊ̯f dɛːs flaɪ̯ʃhaʊ̯ɛːrs ʃɪld vaːr dɛːr abstand t͡svɪʃɛːn ""kɛːzɛː"" ʊnd ""ʊnd"" ʊnd ""ʊnd"" ʊnd ""vuːrst"" t͡suː klaɪ̯n ɡɛːraːtɛːn."
Der Braumeister zu Zipf zapft zehn Fässer Zipfer.,dɛːr braʊ̯maɪ̯stɛːr t͡suː t͡sɪp͡f t͡sap͡ft t͡seːn fɛzɛːr t͡sɪp͡fɛːr.
"Wo bist', Bovist?","voː bɪst', boːfɪst?"
"Wußten sie schon, daß wenn in Reden von Walzwerken und Waldzwergen die Rede ist, es zu Irritationen beim Hörer führt, da es phonetisch nicht ganz leicht ist zu unterscheiden, ob es sich um Walzwerke oder Waldzwerge handelt. Gott sei Dank, ist es aber relativ selten, das ein Waldzwerg ein Walzwerk besucht oder Walzwerke in der Umgebung der Waldzwerge erbaut werden. wenn allerdings Waldzwerg ein Walzwerk baut, handelt es sich demzufolge um ein Waldzwergwalzwerk. Wenn dieser dann auch noch darin arbeitet ist es dann offensichtlich ein Walzwerkwaldzwerg.","vuːstɛːn ziː ʃoːn, daːs vɛn iːn rɛːdɛːn foːn vaːlt͡svɛːrkɛːn ʊnd valdt͡svɛːrɡɛːn diː rɛːdɛː ɪst, ɛːs t͡suː ɪriːtaːtiːoːnɛːn baɪ̯m høːrɛːr fyːrt, daː ɛːs foːnɛːtɪʃ nɪçt ɡaːnt͡s laɪ̯çt ɪst t͡suː ʊntɛːrʃaɪ̯dɛːn, oːb ɛːs zɪç uːm vaːlt͡svɛːrkɛː oːdɛːr valdt͡svɛːrɡɛː handɛlt. ɡɔt zaɪ̯ daŋk, ɪst ɛːs aːbɛːr rɛːlaːtiːf zɛltɛːn, daːs aɪ̯n valdt͡svɛːrɡ aɪ̯n vaːlt͡svɛːrk bɛːzʊxt oːdɛːr vaːlt͡svɛːrkɛː iːn dEr ʊmɡEbʊŋ dEr valdt͡svErɡE Erbaʊ̯t vErdEn. vɛn alErdɪŋs valdt͡svErɡ aɪ̯n vaːlt͡svErk baʊ̯t, handɛlt Es zɪç dEmt͡suːfɔlɡE uːm aɪ̯n valdt͡svErɡvaːlt͡svErk. vɛn diːzEr dan aʊ̯x nɔx daːriːn aːrbaɪ̯tEt ɪst Es dan ɔfɛnzɪçtlɪç aɪ̯n vaːlt͡svErkvaldt͡svErɡ."
Und aus des toten Recken Hose wuchs eine rote Heckenrose!,ʊnd aʊ̯s dɛːs toːtɛːn rɛːkɛːn hoːzɛː vʊks aɪ̯nɛː roːtɛː hɛːkɛːnroːzɛː!
Zwei Astronauten kauten und kauten während sie blaugrüne Mondsteine klaubten.,t͡svaɪ̯ astroːnaʊ̯tɛːn kaʊ̯tɛːn ʊnd kaʊ̯tɛːn vɛːhrɛnd ziː blaʊ̯ɡryːnɛː mɔndstaɪ̯nɛː klaʊ̯btɛːn.
"Einst bergte ich den Krabbel hinauf, da sah ich ein Guckte und loch hinein. Drinnen sassen drei Stühle auf gepolsterten Herren. Da nahm ich meinen Tag ab und sagte ""Guten Hut, meine Herren"". Da lachten sie an zu fingen, dass Ihnen der Platz bauchte. Hahaha, fallerititi, was lacht es da zu gipsen?","aɪ̯nst bɛːrɡtɛː ɪç dɛːn kraːbɛːl hiːnaʊ̯f, daː zaː ɪç aɪ̯n ɡktɛː ʊnd lɔx hiːnaɪ̯n. drɪnɛːn zasɛːn draɪ̯ styːlɛː aʊ̯f ɡɛːpɔlstɛːrtɛːn hɛrɛːn. daː naːm ɪç maɪ̯nɛːn taːɡ aːb ʊnd zaɡtɛː ""ɡtɛːn huːt, maɪ̯nɛː hɛrɛːn"". daː laxtɛːn ziː aːn t͡suː fɪŋɛːn, das iːnɛːn dɛːr plaːt͡s baʊ̯xtɛː. haːaːaː, falɛːriːtiːtiː, vaːs laxt ɛːs daː t͡suː ɡɪpzɛːn?"
Am Zehnten Zehnten um zehn Uhr zehn zogen zehn zahme Ziegen zehn Zentner Zucker zum Zoo.,aːm t͡sentɛːn t͡sentɛːn uːm t͡seːn uːhr t͡seːn t͡soːɡɛːn t͡seːn t͡saːmɛː t͡siːɡɛːn t͡seːn t͡sɛntnɛːr t͡suːkɛːr t͡suːm t͡soː.
"Weisst du das, daß das ""das"" das meistgebrauchte Wort im Satz ist?","vaɪ̯st duː daːs, daːs daːs ""daːs"" daːs maɪ̯stɡɛːbraʊ̯xtɛː voːrt iːm zaːt͡s ɪst?"
Braunblaues Brautkleid,braʊ̯nblaʊ̯ɛːs braʊ̯tklaɪ̯t
