text,ipa
"Bhí bean ag Joe, Is bhí banjo ag Joe, Is bhí banjo ag bhean Joe, B'fhearr go deo Joe ar an mbanjo, Ná bean Joe ar an mbanjo go deo.","vˈiː | bˈan | ɛɡ | d͡ʒˈə͡ʊ, | ɪs | vˈiː | bˈand͡ʒə͡ʊ | ɛɡ | d͡ʒˈə͡ʊ, | ɪs | vˈiː | bˈand͡ʒə͡ʊ | ɛɡ | vˈan | d͡ʒˈə͡ʊ, | bˈar | ɡˈɔ | d͡ʒˈoː | d͡ʒˈə͡ʊ | ˈɛɹ | ən | ˈɛmbˈand͡ʒə͡ʊ, | nɑː | bˈan | d͡ʒˈə͡ʊ | ˈɛɹ | ən | ˈɛmbˈand͡ʒə͡ʊ | ɡˈɔ | d͡ʒˈoː."
Tá sicín ina seasamh sna sneachta lá siocha.,t̪ˈɑː | ʃˈɪkʲiːn | ˌɪnə | ʃˈasɐv | snə | ʃnʲˈAxt̪ə | lˈɑː | ʃˈɔxə.
Tá ceann tuí ar trí thigh atá thíos le taobh na toinne.,t̪ˈɑː | kʲˈa͡ʊn | t̪ˈiː | ˈɛr | t͡ʃrˈiː | hʲˈɪɡ | ət̪ˌɑː | hʲˈiːəs | lɛ | t̪əˈeːəvv | nə | t̪ˈɔnjə.
Tá neascóid ar ioscad an easpaig. Ach níl a fhios ag an easpaig go bhfuil neascóid ar a ioscaid.,t̪ˈɑː | nʲɐskˈoːi̯d͡ʒ | ˈɛɹ | ˈɪskɐd̪ | ən | ˈaspɪɡ. | Ax | nʲˈiːlʲ | ə | ˈɪs | ɛɡ | ən | ˈaspɪɡ | ɡˈɔ | wˈɪl | nʲɐskˈoːi̯d͡ʒ | ˈɛɹ | ə | ˈɪskɐd͡ʒ.
D'ith damh dubh ubh amh ar neamh.,dˈɪ | d̪ˈAv | d̪ˈʊvv | ˈʊvv | ˈa͡ʊ | ˈɛr | nʲˈav.
"Arsa Doug beag bog: ""Rug gob beag bog gog beag bog.","ərsə | d̪ˈɔəɡ | bjəɡ | bˈɔɡ: | ""ɹˈʊɡ | ɡˈɔb | bjəɡ | bˈɔɡ | ɡˈɔɡ | bjəɡ | bˈɔɡ."
Bhí Joe ag bean Joe agus bhí banjo ag Joe.,vˈiː | d͡ʒˈə͡ʊ | ɛɡ | bˈan | d͡ʒˈə͡ʊ | ˌAɡəs | vˈiː | bˈand͡ʒə͡ʊ | ɛɡ | d͡ʒˈə͡ʊ.
B'fhearr go deo Joe ar an mbanjo ná bean Joe ar an mbanjo go deo.,bˈar | ɡˈɔ | d͡ʒˈoː | d͡ʒˈə͡ʊ | ˈɛɹ | ən | ˈɛmbˈand͡ʒə͡ʊ | nɑː | bˈan | d͡ʒˈə͡ʊ | ˈɛɹ | ən | ˈɛmbˈand͡ʒə͡ʊ | ɡˈɔ | d͡ʒˈoː.
"An bhfacha tú an bacach, nó an bhfacha tú a mhac? Ní fhaca mé an bacach is ní fhacha mé a mhac, ach dá bhfeicfinnse an bacach nó dá bhfeicfinnse a mhac, ní bhacfainn leis an bacach is ní bhacfainn lena mhac!","ən | vˈAxə | t̪ˈuː | ən | bˈAkɐx, | nuː | ən | vˈAxə | t̪ˈuː | ə | vˈAk? | nʲˈiː | ˈAkə | mˈeː | ən | bˈAkɐx | ɪs | nʲˈiː | ˈAxə | mˈeː | ə | vˈAk, | Ax | d̪ˈɑː | vˈɛkhɪnʃə | ən | bˈAkɐx | nuː | d̪ˈɑː | vˈɛkhɪnʃə | ə | vˈAk, | nʲˈiː | vˈAkhɪŋ | lˈɛʃ | ən | bˈAkɐx | ɪs | nʲˈiː | vˈAkhɪŋ | lˈɛnə | vˈAk!"
Go mbéadh seacht shliocht ag sliocht do shleachta.,ɡˈɔ | mˈeːχ | ʃˈAxt̪ | hlʲˈɔxt̪ | ɛɡ | ʃlʲˈɔxt̪ | dɐ | hlʲˈAxt̪ə.
Ná bac le mac an bhacaigh is ní bhacfaidh mac an bhacaigh leat.,nɑː | bˈAk | lɛ | mˈAk | ən | vˈAkɪɡ | ɪs | nʲˈiː | vˈAkhɪɡ | mˈAk | ən | vˈAkɪɡ | lʲˈat̪.
Meallann muilte Dé go mall ach meallann siad go mion.,mˈalɐn | məˈɪlʲt͡ʃə | dʲˈeː | ɡˈɔ | mˈa͡ʊl | Ax | mˈalɐn | ʃˈi͡əd̪ | ɡˈɔ | mʲˈɔn.
Bhi an bhean bheag bhocht bhreoite bruite leis an bfuacht.,vˈɪ | ən | vˈan | vjəɡ | vˈɔxt̪ | vrˈoːcə | bɹˈɪcə | lˈɛʃ | ən | bfˈu͡əxt̪.
Rinne Máire gáire gan náire ag an fhaire i nDoire anuraidh.,ɹˈɪnjə | mˈɑːi̯ʒə | ɡˈɑːi̯ʒə | ɡAn | nˈɑːi̯ʒə | ɛɡ | ən | ˈarə | ɪ | nˈɔrə | ənˈʊɹɪɡ.
"Thabhairfainn gal don té a thabharfadh gal dom is gal aige is gan gal agam; ach an té ná tabharfadh gal dom is gal aige is gan gal agam, ní tabharfainn gal dó is gal agam is gan gal aige.","hˈuːərhɪŋ | ɡˈAl | d̪ˈɔn | cˈeː | ə | hˈuːərhɐχ | ɡˈAl | d̪ˈɔm | ɪs | ɡˈAl | əɡˈɛ | ɪs | ɡAn | ɡˈAl | ˈAɡɐm; | Ax | ən | cˈeː | nɑː | t̪ˈuːərhɐχ | ɡˈAl | d̪ˈɔm | ɪs | ɡˈAl | əɡˈɛ | ɪs | ɡAn | ɡˈAl | ˈAɡɐm, | nʲˈiː | t̪ˈuːərhɪŋ | ɡˈAl | d̪ˈoː | ɪs | ɡˈAl | ˈAɡɐm | ɪs | ɡAn | ɡˈAl | əɡˈɛ."
Tá ailt ata ar ioscaid an easpaig.,t̪ˈɑː | ˈalʲt͡ʃ | ˈAt̪ə | ˈɛɹ | ˈɪskɐd͡ʒ | ən | ˈaspɪɡ.
"Tá bean ag Joe, Tá banjó ag Joe, agus tá banjó ag Bean Joe, B'fhearr le Joe, bean Joe ar an mbanjó ná Joe ar an mbanjó go deo!","t̪ˈɑː | bˈan | ɛɡ | d͡ʒˈə͡ʊ, | t̪ˈɑː | bˈand͡ʒə͡ʊ | ɛɡ | d͡ʒˈə͡ʊ, | ˌAɡəs | t̪ˈɑː | bˈand͡ʒə͡ʊ | ɛɡ | bˈan | d͡ʒˈə͡ʊ, | bˈar | lɛ | d͡ʒˈə͡ʊ, | bˈan | d͡ʒˈə͡ʊ | ˈɛɹ | ən | ˈɛmbˈand͡ʒə͡ʊ | nɑː | d͡ʒˈə͡ʊ | ˈɛɹ | ən | ˈɛmbˈand͡ʒə͡ʊ | ɡˈɔ | d͡ʒˈoː!"
"Go mbeannaí Dia dhuit, minic a thig, agus 'sé mo léan géar nach é minic nach dtig, a thig is chomh minic, le minic a thig.","ɡˈɔ | mʲˈaniː | dʲˈi͡ə | ɣəˈɪc, | mˈɪnʲɪk | ə | hʲˈɪɡ, | ˌAɡəs | ʃˈeː | mɐ | lˈeːn | ɡʲˈeːr | nˈAx | ˈeː | mˈɪnʲɪk | nˈAx | d͡ʒˈɪɡ, | ə | hʲˈɪɡ | ɪs | xˈoː | mˈɪnʲɪk, | lɛ | mˈɪnʲɪk | ə | hʲˈɪɡ."
Dhá shú the dom féin.,ɣˈɑː | hˈuː | hʲˈɛ | d̪ˈɔm | hˈeːn.
