text,ipa
"Trentatré Trentini entrarono a Trento, tutti e trentatré, trotterellando.","trentatre trentini entrarono a trento, tutːi e trentatre, trotːerelːando."
"Se mi cerchi non ci sono! Semicerchi non ""c"" sono.","se mi t͡ʃerki non t͡ʃi sono! semit͡ʃerki non ""k"" sono."
Ti ritiri tu?,ti ritiri tu?
centottantotto lire più cinque-cento-cinquanta-cinque centesimi,t͡ʃentotːantotːo lire piu t͡ʃinkue-t͡ʃento-t͡ʃinkuanta-t͡ʃinkue t͡ʃentesimi
Quanti rami di rovere roderebbe un roditore se un roditore potesse rodere rami di rovere?,kuanti rami di rovere roderebːe un roditore se un roditore potesːe rodere rami di rovere?
"Chi troppo in alto sal, cade sovente - precipitevolissimevolmente.","ki tropːo in alto sal, kade sovente - pret͡ʃipitevolisːimevolmente."
particolareggiatissimamente,partikolared͡ʒːatisːimamente
Sopra un sasso messo stava su se stesso un sasso stava.,sopra un sasːo mesːo stava su se stesːo un sasːo stava.
Se l'arcivescovo di Costantinopoli si disarcivescovisconstantinopolizzasse tu ti disarcivescoviscostantinopolizzeresti come si è disarcivescoviscostantinopolizzato l' arcivescovo di Costantinopoli?,se l'art͡ʃiveʃovo di kostantinopoli si disart͡ʃiveʃoviʃonstantinopolit͡sasːe tu ti disart͡ʃiveʃoviʃostantinopolit͡seresti kome si ɛ disart͡ʃiveʃoviʃostantinopolit͡sato l' art͡ʃiveʃovo di kostantinopoli?
"No, non ho un nonno.","no, non o un nonːo."
Il papá pesa al pepe a Pisa. A Pisa pesa il pepe al papá.,il papá pesa al pepe a pisa. a pisa pesa il pepe al papá.
"Pio Pietro Paolo Pula pittore Palermitano, pinse pittura per poco prezzo. Prepotenti popolo pagate presto Pio Pietro Paolo Pula per partire per Palermo propria patria.","pio pietro paolo pula pitːore palermitano, pinse pitːura per poko pret͡so. prepotenti popolo paɡate presto pio pietro paolo pula per partire per palermo propria patria."
"Sopra la panca la capra campa, sotto la panca la capra crepa.","sopra la panka la kapra kampa, sotːo la panka la kapra krepa."
aiuole,aiuole
Il cuoco cuoce in cucina e dice che la cuoca giace e tace perchè sua cugina non dica che le piace cuocere in cucina col cuoco.,il kuoko kuot͡ʃe in kut͡ʃina e dit͡ʃe ke la kuoka d͡ʒat͡ʃe e tat͡ʃe perkɛ sua kud͡ʒina non dika ke le piat͡ʃe kuot͡ʃere in kut͡ʃina kol kuoko.
O schiavo con lo schiaccianoci che cosa schiacci? Schiaccio sei noci del vecchio noce con lo schiaccianoci.,o skiavo kon lo skiat͡ʃːanot͡ʃi ke kosa skiat͡ʃːi? skiat͡ʃːo sei not͡ʃi del vekːio not͡ʃe kon lo skiat͡ʃːanot͡ʃi.
"Pure Pelè partì parà per il Perù, però perì per il purè.","pure pelɛ parti para per il peru, perɔ peri per il purɛ."
"Se l'arcivescovo di Costantinopoli, si volesse disarcivescoviscostantipolizzare, vi arcivescoviscostantinopolizzereste voi, per disarcivescoviscostantinopolizzare lui?","se l'art͡ʃiveʃovo di kostantinopoli, si volesːe disart͡ʃiveʃoviʃostantipolit͡sare, vi art͡ʃiveʃoviʃostantinopolit͡sereste voi, per disart͡ʃiveʃoviʃostantinopolit͡sare lui?"
"In un piatto poco cupo, poco pepe cape.","in un piatːo poko kupo, poko pepe kape."
"Sedendo carponi cogliendo foglioni, foglioni cogliendo carponi sedendo.","sedendo karponi koʎendo foʎoni, foʎoni koʎendo karponi sedendo."
"Paolo Pier Pancio pittore poco pratico promise pinger Padova per pure poco prezzo poi pentitosi perché poco pagato partì per Parma, propria patria, poi perì.","paolo pier pant͡ʃo pitːore poko pratiko promise pind͡ʒer padova per pure poko pret͡so poi pentitosi perke poko paɡato parti per parma, propria patria, poi peri."
"Per Robespierre, instauratore del Terrore, era un terribile errore irrorare col verderame un raro ramarro marrone.","per robespierːe, instauratore del terːore, era un terːibile erːore irːorare kol verderame un raro ramarːo marːone."
"Andavo a Lione cogliendo cotone, tornavo correndo cotone cogliendo.","andavo a lione koʎendo kotone, tornavo korːendo kotone koʎendo."
Dietro a quel palazzo c'è un povero cane pazzo. Date un pezzo di pane a quel povero pazzo cane.,dietro a kuel palat͡so k'ɛ un povero kane pat͡so. date un pet͡so di pane a kuel povero pat͡so kane.
"Nel giardin di Frate Andrea, Fra' Simon foglion cogliea. Nel giardin di Fra' Simon, Frate Andrea cogliea foglion.","nel d͡ʒardin di frate andrea, fra' simon foʎon koʎea. nel d͡ʒardin di fra' simon, frate andrea koʎea foʎon."
Tre tozzi di pan secco in tre strette tasche stanno.,tre tot͡si di pan sekːo in tre stretːe taske stanːo.
"Sereno è; sereno sarà; se non è sereno, si rasserenerà.","sereno ɛ; sereno sara; se non ɛ sereno, si rasːerenera."
Un pezzo di pizza che puzza nel pozzo del pazzo di pezza.,un pet͡so di pit͡sa ke put͡sa nel pot͡so del pat͡so di pet͡sa.
"Trentatre trentini, tutti trentatre da Trento, venivano trottando per le valli del Trentino","trentatre trentini, tutːi trentatre da trento, venivano trotːando per le valːi del trentino"
"Apelle, figlio di Apollo, fece una palla di pelle di pollo. Tutti i pesci venirono a galla, per vedere la palla di pelle di pollo fatta da Apelle, figlio di Apollo.","apelːe, fiʎo di apolːo, fet͡ʃe una palːa di pelːe di polːo. tutːi i pest͡ʃi venirono a ɡalːa, per vedere la palːa di pelːe di polːo fatːa da apelːe, fiʎo di apolːo."
