text,ipa
"¿Usted no nada nada? No, no traje traje.","¿usted no nada nada? no, no tɾaxe tɾaxe."
Ñoño Yáñez come ñame en las mañanas con el niño.,ɲoɲo iaɲes kome ɲame en las maɲanas kon el niɲo.
Tengo un tío cajonero que hace cajas y calajas y cajitas y cajones. Y al tirar de los cordones salen cajas y calajas y cajitas y cajones.,tenɡo un tjo kaxoneɾo ke ase kaxas i kalaxas i kaxitas i kaxones. i al tiɾaɾ de los koɾdones salen kaxas i kalaxas i kaxitas i kaxones.
"El vino vino, pero el vino no vino vino. El vino vino vinagre.","el bino bino, peɾo el bino no bino bino. el bino bino binaɡɾe."
Poquito a poquito Paquito empaca poquitas copitas en pocos paquetes.,pokito a pokito pakito empaka pokitas kopitas en pokos paketes.
"De Guadalajara vengo, jara traigo, jara vendo, a medio doy cada jara. Que jara tan cara traigo de Guadalajara.","de ɡwadalaxaɾa benɡo, xaɾa tɾaiɡo, xaɾa bendo, a medjo doi kada xaɾa. ke xaɾa tan kaɾa tɾaiɡo de ɡwadalaxaɾa."
"Del pelo al codo y del codo al pelo, del codo al pelo y del pelo al codo.","del pelo al kodo i del kodo al pelo, del kodo al pelo i del pelo al kodo."
"El volcán de parangaricutirimícuaro se quiere desparangaricutiriguarízar, y él qué lo desparangaricutiricuarízare será un buen desparangaricutirimízador.","el bolkan de paɾanɡaɾikutiɾimikwaɾo se kjeɾe despaɾanɡaɾikutiɾiɡwaɾisaɾ, i el ke lo despaɾanɡaɾikutiɾikwaɾisaɾe seɾa un bwen despaɾanɡaɾikutiɾimisadoɾ."
¿Cómo me las maravillaría yo?,¿komo me las maɾabiʝaɾja io?
"Compadre de la capa parda, no compre usted mas capa parda, que el que mucha capa parda compra, mucha capa parda paga. Yo que mucha capa parda compré, mucha capa parda pagué.","kompadɾe de la kapa paɾda, no kompɾe usted mas kapa paɾda, ke el ke mut͡ʃa kapa paɾda kompɾa, mut͡ʃa kapa paɾda paɡa. io ke mut͡ʃa kapa paɾda kompɾe, mut͡ʃa kapa paɾda paɡe."
"Pablito piso el piso, pisando el piso Pablito piso cuando Pablito piso el piso, piezas de piso piso Pablito.","pablito piso el piso, pisando el piso pablito piso kwando pablito piso el piso, pjesas de piso piso pablito."
Debajo de la puente de Guadalajara había un conejo debajo de la agua.,debaxo de la pwente de ɡwadalaxaɾa abja un konexo debaxo de la aɡwa.
Un tubo tiró un tubo y otro tubo lo detuvo. Hay tubos que tienen tubos pero este tubo no tuvo tubo.,un tubo tiɾo un tubo i otɾo tubo lo detubo. ai tubos ke tjenen tubos peɾo este tubo no tubo tubo.
"Si la sierva que te sirve, no te sirve como sierva, de que sirve que te sirvas de una sierva que no sirve.","si la sjeɾba ke te siɾbe, no te siɾbe komo sjeɾba, de ke siɾbe ke te siɾbas de una sjeɾba ke no siɾbe."
"Juan tuvo un tubo, y el tubo que tuvo se le rompio, y para recuperar el tubo que tuvo, tuvo que comprar un tubo igual al tubo que tuvo.","xwan tubo un tubo, i el tubo ke tubo se le ɾompjo, i paɾa ɾekupeɾaɾ el tubo ke tubo, tubo ke kompɾaɾ un tubo iɡwal al tubo ke tubo."
"Un podador podaba la parra y otro podador que por allí pasaba le preguntó: Podador que podas la parra. ¿Qué parra podas? ¿Podas mi parra o tu parra podas? Ni podo tu parra, ni mi parra podo, que podo la parra de mi tío Bartolo.","un podadoɾ podaba la para i otɾo podadoɾ ke poɾ aʝi pasaba le pɾeɡwnto: podadoɾ ke podas la para. ¿ke para podas? ¿podas mi para o tu para podas? ni podo tu para, ni mi para podo, ke podo la para de mi tjo baɾtolo."
"Con un cuchillo de acero te descorazonaré, el que te descorazona descorazonador será.","kon un kut͡ʃiʝo de aseɾo te deskoɾasonaɾe, el ke te deskoɾasona deskoɾasonadoɾ seɾa."
"Los hombres con hambre hombre, abren sus hombros hombrunos sin dejar de ser hombres con hambre hombre hombruno. Si tú eres un hombre con hambre hombre hombruno, pues dí que eres un hombre com hambre y no cualquier hombre hombruno sino un hombre con hombros muy hombre, hombre.","los ombɾes kon ambɾe ombɾe, abɾen sus ombɾos ombɾunos sin dexaɾ de seɾ ombɾes kon ambɾe ombɾe ombɾuno. si tu eɾes un ombɾe kon ambɾe ombɾe ombɾuno, pwes di ke eɾes un ombɾe kom ambɾe i no kwalkjeɾ ombɾe ombɾuno sino un ombɾe kon ombɾos mui ombɾe, ombɾe."
"Treinta y tres tramos de troncos trozaron tres tristes trozadores de troncos y triplicaron su trabajo, triplicando su trabajo de trozar troncos y troncos.","tɾeinta i tɾes tɾamos de tɾonkos tɾosaɾon tɾes tɾistes tɾosadoɾes de tɾonkos i tɾiplikaɾon su tɾabaxo, tɾiplikando su tɾabaxo de tɾosaɾ tɾonkos i tɾonkos."
Yo vi en un huerto un cuervo cruento comerse el cuero del cuerpo del puerco muerto.,io bi en un ueɾto un kweɾbo kɾwento komeɾse el kweɾo del kweɾpo del pweɾko mweɾto.
De generación en generación las generaciones se degeneran con mayor degeneración.,de xeneɾasion en xeneɾasion las xeneɾasiones se dexeneɾan kon majoɾ dexeneɾasion.
Platicando placidamente en la plateada planicie de la playa se oía el plañir plañidero plañiendo.,platikando plasidamente en la plateada planisie de la plaja se oja el plaɲiɾ plaɲideɾo plaɲjendo.
El que escuche el plañir plañidero plañiendo será un gran plañiador.,el ke eskut͡ʃe el plaɲiɾ plaɲideɾo plaɲjendo seɾa un ɡɾan plaɲjadoɾ.
"No me mires, que miran que nos miramos, y verán en tus ojos que nos amamos. No nos miremos, que cuando no nos miren nos miraremos.","no me miɾes, ke miɾan ke nos miɾamos, i beɾan en tus oxos ke nos amamos. no nos miɾemos, ke kwando no nos miɾen nos miɾaɾemos."
"María Chuchena su techo techaba, y un techador le pregunta:""¿Que techas Maria Chuchena? O techas tu choza o techas la ajena?"" ""No techo mi choza ni techo la ajena. Yo techo el techo de María Chuchena.","maɾja t͡ʃut͡ʃena su tet͡ʃo tet͡ʃaba, i un tet͡ʃadoɾ le pɾeɡwnta:""¿ke tet͡ʃas maɾja t͡ʃut͡ʃena? o tet͡ʃas tu t͡ʃosa o tet͡ʃas la axena?"" ""no tet͡ʃo mi t͡ʃosa ni tet͡ʃo la axena. io tet͡ʃo el tet͡ʃo de maɾja t͡ʃut͡ʃena."
"Comí cacahuates, me encacahaticé, ahora para desencacahatizarme, cómo me desencacahatizaré.","komi kakawates, me enkakaatise, aoɾa paɾa desenkakaatisaɾme, komo me desenkakaatisaɾe."
